otu,Domain,Phylum,Class,Order,Family,Genus,Species
JF740253.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Leptosphaeriaceae,g__Plenodomus,s__Plenodomus_chrysanthemi
MK953367.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pterulaceae,g__Pterulicium,s__Pterulicium_caricis-pendulae
GQ919014.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_verbenae
MK575241.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Hygrophoropsidaceae,g__Hygrophoropsis,s__Hygrophoropsis_aurantiaca
KU668962.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Phellinus,s__Phellinus_cinereus
LN850607.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_atrosericeum
FR878084.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Gloeocystidiellaceae,g__Gloeocystidiellum,s__Gloeocystidiellum_kenyense
JF495068.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Agaricaceae,g__Agaricus,s__Agaricus_erythrosarx
MT319640.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_yarraensis
LC516617.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Atheliales,f__Atheliaceae,g__Athelia,s__Athelia_decipiens
